type,description,title,img,score,review_n
products,"Packed with a variety of natural and nutritious ingredients for dogs, 4Legs proudly states it makes fresh dog food that’s as good as homemade -  but without the fuss.",4Legs Natural Dog Food,https://cdn.productreview.com.au/resize/listing-picture/f4db0623-29dc-4103-b6b0-8112adab474e?width=96&height=96&v=2,4.9,"3,526"
products,"As a 2020 Award Winner, the newborn-friendly Babybee Rover is no doubt a fan favourite among new mums and dads.",Babybee Rover,https://cdn.productreview.com.au/resize/listing-picture/851bd4d7-0706-49ea-930b-3be5b161e37f?width=96&height=96&v=2,4.9,"1,687"
products,"An affordable stroller pick at $399, the Australian-made Redsbaby Skip reclines fully flat. It also only weighs an ultra-light 6.5kg, which makes handling and carrying it child's play.",Redsbaby SKIP,https://cdn.productreview.com.au/resize/listing-picture/776823b6-6acf-49cf-897c-6f5d2700d352?width=96&height=96&v=2,4.9,"1,493"
products,The $219 Spinaleze Pillows are a premium yet hugely popular pick for providing superior spinal and neck support.,Spinaleze Pillows,https://cdn.productreview.com.au/resize/listing-picture/12c72952-87d4-49d0-89a7-026ba431fdb5?width=96&height=96&v=2,4.8,"2,623"
products,"This popular mattress-in-a-box is designed to be luxuriously soft as well as supportive. It also comes with the unique ability to make half of the mattress a medium feel, while the other half is a firm feel, so that everyone can sleep happy.",Sleeping Duck Mattress,https://cdn.productreview.com.au/resize/listing-picture/8165eec8-4438-40d7-aba7-79108def451a?width=96&height=96&v=2,4.8,"5,148"
products,"With a number of domestic and commercial functions, the Optimum 9400 is built to cater to the needs of serious home chefs.",Optimum 9400,https://cdn.productreview.com.au/resize/listing-picture/98943679-df04-41f0-9b3e-108b72a76910?width=96&height=96&v=2,4.9,749
products,"The Jump Star Round has rave reviews, and it’s not difficult to see why - it uses durable materials, lets anyone play safely, and comes in a range of sizes for all types of families",Jump Star Round,https://cdn.productreview.com.au/resize/listing-picture/7f14338c-33d1-3eb1-a273-565526ae6a56?width=96&height=96&v=2,4.9,373
products,"With its impressive 4.9-star rating, the Milo Stroller from online Australian company Milly + Coup is popular among parents because of its easy manoeuvrability, compact storage, and ability to accomodate newborns to children up to 22kg",Milly + Coup Milo,https://cdn.productreview.com.au/resize/listing-picture/cddc313b-2f2c-4432-a3cf-551daa04709d?width=96&height=96&v=2,4.8,746
products,"The Babybee Duo 2 is available as a double bassinet and seat set, with a couple of other options, too. Overall, it functions as a handy and highly rated travel system and double stroller",Babybee Duo,https://cdn.productreview.com.au/resize/listing-picture/7021fc13-fcd6-4065-b9f8-205e368a24ff?width=96&height=96&v=2,4.8,"1,682"
products,"If you’re looking for support in a mattress that helps relieve pain but doesn’t compromise on comfort, the Pure Comfort range has allowed many reviewers to feel rejuvenated after each night's sleep.",Latex Mattress Australia Pure Comfort,https://cdn.productreview.com.au/resize/listing-picture/c513c4e1-a043-3368-916e-a95ee0ba5ca1?width=96&height=96&v=2,4.9,392
products,"The New Koala Mattress is a winner with reviewers so far. It offers either a medium or medium-firm support level, along with a soft, comfortable and breathable Tencel™ Lyocell comfort layer.",The New Koala Mattress,https://cdn.productreview.com.au/resize/listing-picture/73007b1f-8ebc-4c39-b8c1-4bd1c211dabf?width=96&height=96&v=2,4.9,427
products,The Pure Support mattress is Latex Mattress Australia’s best selling mattress for over 65 years and counting. Its two layers are available in both medium and firm comfort levels - ideal for those who prefer a more supportive and high-density mattress feel.,Latex Mattress Australia Pure Support,https://cdn.productreview.com.au/resize/listing-picture/f8240365-5c90-4cfe-96bd-0be111a5682a?width=96&height=96&v=2,4.9,420
products,"Equipped with a range of included features such as an arm bar, height-adjustable handle, locking front wheels, suspension and under-seat storage, the $769 Metro 3 has plenty to offer.",Redsbaby Metro,https://cdn.productreview.com.au/resize/listing-picture/f7015d7f-3141-46e8-b82e-79d162e03f83?width=96&height=96&v=2,4.8,"1,500"
products,"Hoselink Retractable Hose Reels have an automatic rewind system, 180° of swivel, and the ability to be secured at any length for tangle-free use, letting you care for your garden without a fuss",Hoselink Retractable Hose Reel,https://cdn.productreview.com.au/resize/listing-picture/fa9f9ce9-cc85-3c02-9b13-928e4692d9e8?width=96&height=96&v=2,4.8,"1,989"
products,"Provide support to a growing child by giving them comfortable sleeps in the Eco Kids Mattress. It’s made from natural fabrics, has durable springs for active kids, and anti-allergy properties that are gentle on any sensitivities",Eco Kids Mattress,https://cdn.productreview.com.au/resize/listing-picture/96ab9ac8-a3d7-49da-953f-2db93082f014?width=96&height=96&v=2,4.9,392
products,"Seeking a light mattress for summer? The award-winning Ausbeds Sienna is covered in Tencel, an environmentally friendly fabric that’s even more breathable than cotton.",Ausbeds Sienna,https://cdn.productreview.com.au/resize/listing-picture/57616355-102b-4ed7-b8ab-9ccf99ac083a?width=96&height=96&v=2,4.9,315
products,Dermal Therapy is a popular Australian skincare range that effectively uses clinically-tested formulations to solve everyday skincare problems.,Dermal Therapy Australia,https://cdn.productreview.com.au/resize/listing-picture/2412eb5e-8d11-4b78-b15c-edc354ea34aa?width=96&height=96&v=2,4.8,417
products,"With a decent number of domestic and commercial functions enabled by its powerful 2,611 watt motor, there seems to be little that the Optimum 9200A can't handle.",Optimum 9200A 2nd Generation,https://cdn.productreview.com.au/resize/listing-picture/697a6c48-70c4-4951-9d27-f3a1ab0d31d8?width=96&height=96&v=2,4.9,369
products,"With glowing 5-star reviews making up around 80% of total reviews, the Magimix Cook Expert is undoubtedly a winner when it  comes to all-in-one kitchen appliances.",Magimix Cook Expert,https://cdn.productreview.com.au/resize/listing-picture/fb90d597-72dd-41ed-bb01-7515d63e3db3?width=96&height=96&v=2,4.8,611
products,"Firm but plush, the Sleep Republic Mattress uses a combination of cashmere and latex to help give optimal comfort, breathability, and support while you sleep",Sleep Republic Mattress,https://cdn.productreview.com.au/resize/listing-picture/0d51a781-ff48-32ce-9c0f-3f7c8d46204b?width=96&height=96&v=2,4.8,556
