rating,review,recommended,pros,cons
1,Terrible Driver Support Team,True,Nothing is good about this company in Australia.,"I kept uploading my vehicle insurance, the driver support team kept rejecting my document. Guess what the reason is??

Renewal date which is 1 Jan 2022 does not OVERLAP my previous insurance which was 31 Dec 2021. No where I. The world insurance companies are overlapping their policies when you are renewing your insurance."
5,Amazing company and career opportunities,True,"- multiple opportunities for progression

- progressive leadership

- opportunity to clearly own output

- amazing benefits and perks",- lots of competing priorities
5,Amazing Company!,True,"Everything - the job, the culture, progression opportunities, the benefits! I love it here!",None that I can think of!
4,Great place to work,True,"Work with extremely smart colleagues

Learn a lot

Great perks",No promotion cycle. Have to apply for roles which are hard to get.
5,3 months in and stoked to be here,True,"Awesome employee benefits, management seem to genuinely care about your wellbeing, focussed on results/achieving targets rather than hours spent doing so.",Things tend to move fast which might not be for everyone. Can be quite a bit to stay abreast of.
4,Awesome place to work in,True,It was nice and I really enjoyed it.,Unpredictable weather can cause problems
3,Pandemic stopped me,True,work for yourself and only when you want,no money to be made after fuel and taxes
5,Great working culture,True,"Great culture, fun teams and events. Awesome perks too like credits and wellbeing allowances.","Growth opportunities come very few, and when they come, there is always some favouritism."
5,"Great benefits, fast moving with a driven team",True,"Amazing people, good benefits, supportive with working from home","Hard to learn processes, documentation is sporadic, lots of firefighting of problems"
4,Very poor driver support,True,"Working for yourself, complete flexibility.","Can be very boring, you basically have the exact same conversation with people all day. Uber are very hard to contact when there are issues and very difficult to get any help from. You will be dissatisfied with them more than satisfied."
5,"Awesome ride, but you will need to be flexible and comfortable with ambiguity",True,"- Really talented people that you'll show up alongside everyday

- Big on diversity &amp; inclusion. Definitely can bring your true self to work everyday.

- Awesome missions &amp; problems to solve

- Your work will be high impact, with millions of customers (riders, eaters, drivers, couriers, restaurants, stores etc.)

- Employee perks are fantastic (discounts, credits, lunches, wellbeing allowance, health insurance, phone allowance etc.)

- Really good internal mobility policies &amp; opportunities. Lots of ability to move internationally and within/across teams and functions

- Global team, so there's lots of opportunity to work with functions &amp; teams that are across different regions. Diverse perspectives to learn from.","- Remuneration is ~okay~, but could definitely be more compelling

- Progression is inconsistent among teams &amp; functions

- Many teams are quite lean, so expect to have some pretty hectic workdays

- Information is very fragmented, which can make onboarding a bit of a headache. You will need to get good at figuring out how to find stray Google docs/Slack messages etc."
5,Great Company,True,"Lots of benefits, fast and dynamic culture, exciting projects",Return to work policy in place
3,"No balance, forced RTO",True,"My team and my manager are great, and the office itself can be really nice.","Expected to work on all holidays with no extra pay, no work-life balance, and forced return to office despite late hours."
2,Salary Expectations,True,Competitive salary compared to other orgs.,lack of support from leaders.
4,great work culture,True,"great office, loved the work culture, potential for growth",competitively lower pay and odd work timings
5,Worked here 2.5 years and still love it,True,"Fun company, lots of young people, go-get-it culture. Rewards high performers, opportunity to work on cool projects that make a difference. Compensation quite geared towards stock (can be a pro, depending on your stance). Lots of other added benefits that should be added to total comp: $3k+ in medical + wellbeing allowance, laptop, phone, food and snacks in office, lots of international opportunities to work and travel.","High performance culture benefits some, disadvantages others. If you are not bullish on stock price, a lot of your compensation is tied up in equity for 3-4 years."
3,No promotions,True,Members of the team are nice,They do not promote you based on merits
5,Great place during glory years,True,"PEOPLE. Best people, always a challenge but the people pull you through.","- Decisions take forever to get made when they aren't made from the top

- too many layers of approval"
3,Mixed Reviews,True,"- Decent Salary, with great benefits 

- Good ""half-way"" between corporate and customer support 

- Good development opportunities","- Workload gets pretty bad sometimes

- Lack of transparity on some subjects as well"
5,Uber eats,True,"Flexible, you are your own boss",Weather might cause lack of hours
5,Great business to be in prior to COVID,True,"Great culture (pre covid), with awesome projects to work on and great benefits.","Once covid hit, company went into panic mode. Being in sales, and no one traveling, the writing was on the wall. Will take a number of years till people are confident to get back to pre covid figures"
4,Great Work Place,True,"- Great young culture

- Catered Lunches 

- Social Environment

- Plenty of room for growth","- Head Office is in another country so makes business difficult

- Work can become quite stagnant"
4,Nice place to work,True,Opportunity for growth and Great team members,Competitive environment. They have layoffs constantly
4,Good intent,True,"Good energy and committed staff.

Transformative business and great products.","Work/life balance.

Systems a bolt-on mess but improving.

Approaches go from settled to chaos often as divisions react to the company trying to find economic viability."
5,it was good,True,"customer service contact, as well as wages, is comparitively less",got to spend time for some pocket money
5,Good for part time,True,Flexible of working part time,Pay not much for part time
3,low salary,True,sometimes high payment/boost on peak time,weak customer service and low payment with a long distance
3,Optimize for Learning,True,"This job and team is all about scrappiness and learning as you go. The more creative, adaptable, and flexible that you are the more likely you are to succeed.","Not on par pay wise with other big tech firms. Still new to employing a sales team and therefore behind the ball with training, operations, incentives."
3,Okay,True,Good for students who want to work part time,Pathetic customer service. Not even available on call
2,Experience at Uber,True,"- Great culture

- Well-known company

- Employee benefits are amazing","- No career development 

- Un-supportive leadership team

- No structure or employee support"
4,Pandemic Worker,True,Promotions in areas of high volume,Reward system needs more added
4,Benefits,True,Benefits and perks are great,"Especially after Covid, career growth slowed down for everyone except the managers"
3,Just a job to get by,True,Good perks for Uber app,"Company doesn't care too much about CX team, more focused on the grand scheme of things."
5,Great people to work with,True,"Good documentation all around , people have open culture here",Too much stress on documentation
5,Great team and healthy culture,True,"- Co-workers are smart and genuinely passionate and motivated to make things better

- Culture is healthy, with no strong expectations around working overtime, and a lot of focus on diversity

- Processes are in place and work well, but there is still room for flexibility and change

- People are genuinely happy to work here

- Compensation and benefits are very competitive and fair

- Great opportunities for growth

- A lot of ownership for local teams",- Uber Eats makes use of a relatively large zero-hour workforce. This group of employees feels less included and is not compensated as well as the FTE's
5,Great place to work,True,Amazing work life balance offered,"Nothing specifically, might vary person to person"
