rating,review,recommended,pros,cons
5,Best benefits,True,"Good benefits , coverage for family",No cons as such .
4,People who care,True,"- Nice, caring, people

- Desire to do the right thing

- Tenured talent

- Commitment to design","- Growing pains

- Difficulties making decisions

- Poor organization"
5,Excellent work life balance,True,Excellent work life balance throughout the year,Hard to get visibility across lines of business
5,Solid Company,True,"Work whenever you'd like, make good money.","No room to improve, car takes a beating."
5,LYFT,True,Able to Make own hours,"Long Hours, Tiring,  fatigue, exhaustion"
5,"great place, wonderful benefits",True,encourages flexible working and remote work,does not offer 401k atm
5,Great company,True,"Benefits, pay, hours, perks, courses","Outside, disorganized, fluctuates, hot, repetitive"
4,Good company culture,True,"Good mission, good culture, positive place to work. Lots of smart people",Lack of 401k match; Performance review process is inconsistent
5,Cool job for college kid,True,Flexible hours and fun you get to chat and listen to music all day esstenially.,Long days. No rides some days.
5,Lyft in Minneapolis/St. Paul,True,Close proximity between two large cities,Large amount of other drivers in a small area
5,Nice Company,True,"With the Flexdrive Rental car program, they were generous. Lyft Driver app, easy to use.","Needed to pay for your own gas and car washes. Safety could be a concern, when driving people in your car. Roads at night in the hills, without many street lights, is dangereous."
3,ok company,True,"laid back, friendly, and self-paced work envionment","low pay, horrible support, and little to no feedback on tasks or projects completed no 401K match"
5,Decent pay,True,Decent pay meet some cool ppl,Could pay more for rides
4,"Great pay, lots of restructuring",True,"Amazing work life balance 

Great pay and

Great people",The pandemic doesn’t make it easy. Internal restructuring
1,Horrible,True,"Quick pay, easy money just for driving",Too much wear and tear and you never make out. Low pay for rides even if you ride all day you won’t meet your goal cause this company is money hungry. Customers don’t tip
5,Great Place to Work,True,"Diversity

Employment Mobility

Great Culture at the regional offices",Hard to culturally connect between HQ and regional offices.
2,Benefits kept me,True,"The best benefits I've ever had from a company. Mental health, parental leave, FSA/HSA, low premiums",The benefits are so good because this company will drain the life out of you!
2,Gives not many options to drivers,True,Additional income source can help but very marginal,"Lower tiers with high gas prices, pick times, and driving back to busy places can be frustrating"
5,awsome brand,True,health benefits are out of this world,youth of staff makes for an inmature environment
5,Amazing culture and benefits,True,"Flat structure, people are nice and actually care about you",stock based compensation - stock price has a lot of upside
5,Shipping,True,The money is good and good people,I haven't had any complaints
5,Flexible with decent pay.,True,"Great Flexibility and pay, meet new people.",Self control and discipline is needed to make sure you work when you should.
5,Great Place to work - be prepared to be challenged,True,"Awesome culture, fulfilling work, intellectually exciting initiatives you are charged with solving","Very much a startup, so conventional corporate processes are still being defined. Can't really complain - I love the fact that the company is very flat"
5,"Amazing people, amazing mission",True,"- Team-oriented approach

- Flexible work schedule/arrangements

- Work hard, play hard environment

- Opportunity to see many parts of the organization, regardless of level and role

- Meritocratic approach to comp/ben

- Moves very quickly","- Minimal standardization, like at a major corporation (in process)

- Things change so quickly that coming back from a week off is more stressful than I experienced at Fortune 500 companies"
1,Community Associate - Contractor,True,Nothing. You don't exist as a contractor. Maybe the free lunch is a pro but that is about it. A laptop....,Everything. As a contractor you do not even have access to company's announcements. You do not exist. They expect the best from you and you are paid peanuts with the non existent possibility to become an internal employee of the company. It is absolutely awful. Drivers have countless issues and you have absolutely ZERO room for growth.
3,Software Engineer,True,"Good work-life balance.

Some very smart people in the company.",job advancement and financial compensation. Traffic and office location
4,"People are great, fun environment, weak HR",True,"The people are incredible, and the main reason to be in the office. With a handful of exceptions, everyone is smart, caring, and wants the company to succeed. It is a very open culture with blameless incident review process within Engingeering.",It can be a hard place to navigate and move up if you don't have a good manager (I don't). HR is fairly useless if you want to switch teams and are being roadblocked by your manager. Recruiting is also extremely understaffed and not very effective at getting talent through the pipeline. Compensation across the org is a bit low.
5,Best Company to Work for,True,Lyft practices the lofty goals it aims for on a daily basis.  Employees are some of the smartest in the business,Fast paced environment can lead to unclear expectations
5,Software Engineer,True,"The most friendly and rewarding working experience I've ever had! 

I had the opportunity to work on exciting projects.

I collaborated with top engineers and designers in the field.

My work had a big impact.

Competitive salary and perks.

Awesome office space.","If I had to pick one, it might be that everything is moving and changing very quickly due to Lyft's incredible growth."
1,Express Drive Community Associate,True,"Resume builder for someone who has never worked in the startup industry. 



Introduction to how chaotic a fancy looking startup company really is and the disorganization that keeps them running.



Google Doc proficiency will sky rocket.","Express Drive Community Associate job title should be changed to ""Lyft Express Drive Human Punching Bag Associate"", due to the amount of emotional and mental abuse that a CA experiences during their underpaid, 8 hours shift in the field. After working in the Service industry for almost 18 years, I have never felt more physically threatened by customers/drivers than I did while working in this position. Express Drive is the last resort for the majority of its participants to obtain a vehicle. All is required is a drivers license, $250 deposit and a cleanish DMV/Criminal background check.



Lyft hides behind the guise that their drivers are ""Contract Workers"" and therefore the CAs in the field are unable to refuse service to any of them. Countless times I was screamed at, physically intimidated, disrespected and generally harassed by the drivers, with little or no support from my managers. Managers were hesitant to ban drivers from using the Lyft platform, even after the drivers had displayed mentally unstable or malicious behavior towards CAs.



If you are researching any CONTRACT positions working for the Lyft company, I strongly recommend applying elsewhere. Find a company that actually values their hardworking contract workers and have a plan/set time period for contract to hire. Lyft strings their contract workers along for an undetermined amount of time for full time hiring. Not uncommon for contract CAs to be in a contract position for over a year before becoming full time. The top pay for the position ($18/hr) is laughable for the SF Bay Area and 99% of the contract CAs also drive for Lyft, on top of putting in 40 hours of fielding a nonstop barrage of disrespectful drivers.



Lastly, there is a major disconnect between ""Full-Time"" Lyft employees and ""Contract"" workers. When in the main Operations Hub it could be interpreted that the Full-Time employees view the Contract folks as inferior or just ""the hired help"". Not a very welcoming environment. I would encourage the upper Lyft management to provide their Operations Managers and Leads with some serious sensitivity and empathy training.



Overall, don't work in a contract position for Express Drive unless you enjoy an underpaid, degrading, end-of-the-line type of position that will not only ruin your mental health, but your physical health as you consume alcohol or drugs to deal with the stress of it."
3,No transparency,True,"Benefits, Co-workers, Snacks, Catered lunch sometimes, Lyft credits","Upper Management

- not approachable

- not transparent



Popularity contest"
2,Typical Start up Drama,True,"The convienient location downtown

Lax Dress-code (very laxed)

Free Apparel (backpacks,shirts,tumblers,hats etc.)","If you are a minority good luck being treated equally.

Diversity and Inclusion is non existent 

Way to much disparate treatment"
1,Not what it seems,True,pay and benefits are good,"lacks clear direction, inconsistent though out the company"
1,Lyft,True,"Pay, Benefits, Growth, Snacks, Snacks","Management, Environment, Co-Workers, Co-Workers, Management"
5,Open Environment,True,"- Very inclusive and open

- Great medical benefits

- Lyft credits",- Best job I have held!
